R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 30
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0132
x-axis screen name: lyp1_HLN 30C
x-axis libraries: SDLV4_384
x-axis client: DAL
x-axis user: AAB
x-axis date: 2014/07/18
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 30
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0131
y-axis screen name: rfa3-313 30C
y-axis libraries: SDLV4_384
y-axis client: MJG
y-axis user: AAB
y-axis date: 2014/06/16
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YDR509W	YDR509W	0.0128476	0.0897724	-21.2504	40.6199	80.2551	1.87714	7.52204	8	6	t-test	E
YDL088C	ASM4	0.000354113	0.00850041	-21.2337	38.5814	77.5891	2.92667	4.4415	8	8	t-test	E
YER121W	YER121W	0.00576313	0.0510255	-21.2307	41.0066	80.7311	3.11215	6.42735	8	6	t-test	E
YKR001C	VPS1	0.00222506	0.0281667	-21.2154	10.8756	41.6268	4.67727	2.09033	8	8	t-test	E
YHR200W	RPN10	0.00067287	0.0130845	-20.9941	28.0363	63.5996	3.56956	4.20153	8	8	t-test	E
YER059W	PCL6	0.00105379	0.0172773	-20.8308	39.4769	78.2282	2.76141	4.73629	8	6	t-test	E
YER161C	SPT2	0.000727446	0.0137203	-20.737	34.3189	71.4157	2.59224	4.47841	8	6	t-test	E
YDR217C	RAD9	1.22041e-16	1.22456e-13	-20.7321	32.1296	68.5695	1.68972	1.57645	56	56	t-test	E
YJR026W	YJR026W	0.103534	0.32751	-20.7226	39.8435	78.5634	9.69122	8.73057	8	8	t-test	E
YER131W	RPS26B	0.00110419	0.0177343	-20.6865	33.2922	70.0185	2.34065	4.76937	8	6	t-test	E
YLL002W	RTT109	0.0769918	0.277491	-20.6836	28.9942	64.4396	9.24237	6.74429	8	8	t-test	E
YDR146C	SWI5	0.000477821	0.0103329	-20.6563	22.2569	55.6648	1.57372	4.74035	8	8	t-test	E
YLR185W	RPL37A	0.034441	0.170552	-20.6331	22.5541	56.0202	7.72313	3.99476	8	8	t-test	E
YMR016C	SOK2	0.0303187	0.156869	-20.606	24.6805	58.7433	7.58863	2.32456	8	8	t-test	E
YCL054W	SPB1	0.000695252	0.0133133	-20.6032	41.2616	80.2479	2.17896	5.00355	8	8	t-test	E
YDR534C	FIT1	0.00272506	0.0317012	-20.3815	41.6874	80.5127	3.74562	4.99239	8	6	t-test	E
YDR455C	:::GUK1	4.74155e-05	0.00222028	-20.352	11.355	41.1288	2.7009	2.08707	8	6	t-test	E
YDL171C	GLT1	0.0489712	0.209453	-20.3487	36.2482	73.4146	8.21088	5.02465	8	8	t-test	E
YKL009W	MRT4	0.00916316	0.0716069	-20.1781	17.7293	49.1716	5.68593	3.18178	8	8	t-test	E
YPR158W	CUR1	0.00215238	0.027541	-20.0118	37.0466	74.0133	4.11165	4.30782	8	8	t-test	E
YER175C	TMT1	0.00236842	0.0291974	-19.9969	37.8165	74.9926	3.04769	5.10719	8	6	t-test	E
YIL117C	PRM5	0.182664	0.443791	-19.979	34.2426	70.3335	12.9896	6.0822	8	8	t-test	E
YER083C	GET2	0.0586846	0.234598	-19.934	36.8065	73.6009	2.60245	10.5851	8	6	t-test	E
YJR034W	PET191	0.00016138	0.00493685	-19.7353	32.782	68.1227	2.89255	3.28987	8	8	t-test	E
YER041W	YEN1	0.00808031	0.065597	-19.7304	41.825	79.8465	3.40511	6.27476	8	6	t-test	E
YCL042W	YCL042W	0.0014025	0.020936	-19.5444	43.5823	81.8848	3.21089	4.806	8	8	t-test	E
YBR270C	BIT2	0.00637249	0.05467	-19.5441	38.5963	75.4168	4.94093	4.30377	8	8	t-test	E
YFL003C	MSH4	0.000181633	0.00526313	-19.544	36.843	73.1423	2.86407	3.37293	8	8	t-test	E
YLR307W	CDA1	0.0771442	0.277679	-19.5196	41.7281	79.4475	9.0886	4.82931	8	8	t-test	E
YER114C	BOI2	0.0358556	0.174149	-19.4882	46.2508	85.2734	2.52491	8.94451	8	6	t-test	E
YNR012W	URK1	0.0901155	0.304067	-19.3442	42.2549	79.9033	9.83016	1.0638	8	8	t-test	E
YJL014W	CCT3	0.00319197	0.0350418	-19.199	37.0477	72.9604	4.34638	3.55688	8	6	t-test	E
YFL041W	FET5	0.00859093	0.0687412	-19.1823	47.3014	86.2393	2.62046	6.298	8	6	t-test	E
YMR269W	TMA23	0.0532575	0.220797	-19.1493	23.8723	55.8054	8.2151	1.91801	8	8	t-test	E
YPR016C	TIF6	0.00353435	0.0372518	-19.1223	23.0263	54.673	4.55358	2.86051	8	8	t-test	E
YBL081W	YBL081W	0.0220559	0.127231	-19.0836	36.4265	72.0049	3.34055	8.16736	8	8	t-test	E
YMR276W	DSK2	0.0411535	0.189674	-19.0766	33.7339	68.5031	7.61136	1.98347	8	8	t-test	E
YER149C	PEA2	0.00544506	0.0491329	-19.0294	38.4739	74.5903	2.67604	5.71228	8	6	t-test	E
YEL028W	YEL028W	0.0522567	0.218659	-19.0132	47.9099	86.8093	2.85012	9.70775	8	6	t-test	E
YEL048C	TCA17	0.0189013	0.114665	-18.9804	43.6523	81.2439	2.37572	7.39972	8	6	t-test	E
YDL175C	AIR2	0.000566883	0.0116559	-18.9607	40.2934	76.8614	2.82077	4.13903	8	8	t-test	E
YBR255W	MTC4	0.000193556	0.00548628	-18.9508	27.9209	60.7996	1.53779	3.90376	8	8	t-test	E
YDR170C	SEC7	0.000363843	0.00869238	-18.918	39.4346	75.692	3.14124	3.17916	8	8	t-test	E
YFL040W	YFL040W	0.00295423	0.0332318	-18.8868	38.8389	74.8789	1.69283	5.0111	8	6	t-test	E
YER024W	YAT2	0.0123884	0.087293	-18.8381	45.9764	84.0741	2.55009	6.6758	8	6	t-test	E
YER095W	RAD51	0.038964	0.183334	-18.8151	38.8525	74.8036	1.68763	8.83832	8	6	t-test	E
YMR261C	TPS3	0.039721	0.185205	-18.8075	36.2872	71.466	7.44531	1.50555	8	8	t-test	E
YBR093C	PHO5	0.115531	0.348905	-18.8063	22.1893	53.1773	9.86697	6.03366	8	8	t-test	E
YNL140C	YNL140C	0.0957567	0.315298	-18.7735	31.4302	65.1216	9.70153	2.11111	8	8	t-test	E
YEL020C	YEL020C	0.00858889	0.0687412	-18.7496	40.413	76.7427	4.06922	5.57884	8	6	t-test	E
YBL041W	PRE7	0.00357198	0.0374909	-18.7202	10.9709	38.5137	4.47528	2.28079	8	8	t-test	E
YEL001C	IRC22	0.00470074	0.044247	-18.6838	40.4295	76.6788	2.18176	5.46316	8	6	t-test	E
YMR203W	TOM40	0.0212553	0.123998	-18.6792	50.1364	89.2641	3.3303	7.90217	8	8	t-test	E
YER150W	SPI1	0.00107369	0.0174328	-18.5844	39.2875	75.0686	2.71518	4.15926	8	6	t-test	E
YMR319C	FET4	0.0474306	0.20618	-18.5614	35.0793	69.58	7.71661	1.43336	8	8	t-test	E
YOL041C	NOP12	0.0398859	0.185656	-18.4713	19.3913	49.1135	7.30358	2.04386	8	8	t-test	E
YPR153W	YPR153W	4.88652e-05	0.00224914	-18.4026	26.51	58.2583	2.05024	3.12015	8	8	t-test	E
YDL014W	NOP1	0.0159714	0.104063	-18.3819	29.4845	62.09	5.65618	4.01483	8	8	t-test	E
YCL057W	PRD1	0.0026225	0.0310308	-18.3684	41.4361	77.5754	3.23032	4.95559	8	8	t-test	E
YJR118C	ILM1	0.0620417	0.242417	-18.3636	34.1323	68.0951	3.94892	10.1701	8	8	t-test	E
YBR181C	RPS6B	0.00452282	0.0436186	-18.3525	24.4503	55.5216	3.61905	5.24045	8	8	t-test	E
YOR127W	RGA1	0.19591	0.460365	-18.3258	33.7093	67.4973	12.7629	2.0246	8	8	t-test	E
YDR292C	SRP101	0.000294968	0.00739927	-18.3166	47.6964	85.6287	2.72926	3.49285	8	8	t-test	E
YDR232W	HEM1	3.43728e-05	0.00190005	-18.2701	38.633	73.8118	2.14928	2.82706	8	8	t-test	E
YDL169C	UGX2	0.00185893	0.0250705	-18.2194	42.8943	79.2736	2.77344	4.87722	8	8	t-test	E
YIL036W	CST6	0.00747731	0.0617001	-18.2182	16.0826	44.4932	4.35662	5.00343	8	8	t-test	E
YML129C	COX14	0.000196572	0.00554046	-18.1982	29.2171	61.5047	2.37346	3.54662	8	8	t-test	E
YOR139C	YOR139C	0.0246153	0.134976	-18.1905	2.36354	26.6617	2.36354	8.18759	8	8	t-test	E
YDL190C	UFD2	0.00679809	0.057129	-18.1738	27.1209	58.7541	1.80142	6.30598	8	8	t-test	E
YLR265C	NEJ1	0.00990693	0.0746292	-18.1322	40.7975	76.4406	2.5573	6.67176	8	8	t-test	E
YDR539W	FDC1	0.00969225	0.0739095	-18.1154	43.016	79.2966	2.68254	6.08019	8	6	t-test	E
YDR437W	GPI19	0.000463454	0.0101535	-18.108	48.9716	87.0122	2.78258	3.70706	8	8	t-test	E
YDL232W	OST4	0.0345178	0.170616	-18.0949	20.4188	49.958	6.46795	5.04336	8	8	t-test	E
YCR026C	NPP1	0.00380355	0.0390233	-18.0642	36.6115	70.9225	3.44531	5.05404	8	8	t-test	E
YBR228W	SLX1	0.000121983	0.004061	-18.01	39.5889	74.7144	2.58861	2.85406	8	8	t-test	E
YJL085W	EXO70	0.135856	0.380352	-17.8899	44.0426	80.3358	9.94741	6.12304	8	6	t-test	E
YER004W	FMP52	0.00482327	0.045062	-17.808	42.8446	78.6755	1.94403	5.21852	8	6	t-test	E
YDR528W	HLR1	0.0272352	0.145206	-17.6681	46.0475	82.6486	3.12151	7.44742	8	6	t-test	E
YER120W	SCS2	0.0145598	0.0975255	-17.6449	40.8764	75.9108	2.14692	6.47766	8	6	t-test	E
YFL006W	YFL006W	0.0161259	0.10459	-17.6224	49.5856	87.1788	3.47087	6.40645	8	6	t-test	E
YER185W	PUG1	0.00562504	0.050215	-17.5136	41.8044	76.9443	3.09	5.13031	8	6	t-test	E
YDR494W	RSM28	0.0171707	0.106748	-17.3159	46.3046	82.5254	3.92373	6.12956	8	6	t-test	E
YJL008C	CCT8	0.0107611	0.0797467	-17.3033	38.3227	72.1552	4.34843	4.85738	8	6	t-test	E
YDR310C	SUM1	0.0012103	0.0188574	-17.258	25.0087	54.8262	2.64679	4.2668	8	8	t-test	E
YCL032W	STE50	0.00165931	0.0233187	-17.2043	15.1481	41.9659	3.44589	3.49282	8	8	t-test	E
YDL085W	NDE2	0.00161897	0.023075	-17.1896	41.6517	76.3259	2.63774	4.47799	8	8	t-test	E
YJR119C	JHD2	0.196004	0.460371	-17.1717	40.3964	74.6744	10.1598	9.64148	8	8	t-test	E
YFL030W	AGX1	0.0144739	0.0970799	-17.1487	45.4848	81.2449	2.36244	6.2863	8	6	t-test	E
YDL122W	UBP1	0.000752768	0.0139875	-17.1379	42.0599	76.7883	2.62265	3.88315	8	8	t-test	E
YER187W	YER187W	0.0162362	0.104656	-17.116	43.9931	79.2677	3.19404	6.2968	8	6	t-test	E
YDR091C	RLI1	0.00145458	0.0214636	-17.1079	43.6608	78.8261	3.4616	3.10032	8	8	t-test	E
YDR452W	PPN1	0.0255704	0.13824	-17.0626	48.4964	85.0399	1.75486	7.15354	8	6	t-test	E
YFL037W	TUB2	0.0347203	0.170944	-16.9719	47.3867	83.4828	5.58159	5.95952	8	8	t-test	E
YDR537C	YDR537C	0.0104936	0.0782738	-16.9655	41.8846	76.3373	3.83868	5.20905	8	6	t-test	E
YER039C-A	YER039C-A	0.0542921	0.22335	-16.9203	50.0408	86.8587	1.93237	8.78	8	6	t-test	E
YCR098C	GIT1	0.00270264	0.0315329	-16.8612	41.1598	75.2618	3.27068	4.26591	8	8	t-test	E
YLR049C	YLR049C	0.0237775	0.133109	-16.7839	38.7817	72.0769	4.0091	6.74826	8	8	t-test	E
