R package version: 0.0-42
Summary type: mean
Test type: t-test
x-axis treatment: 33
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0132
x-axis screen name: lyp1_HLN 33C
x-axis libraries: SDLV4_384
x-axis client: DAL
x-axis user: AAB
x-axis date: 2014/07/18
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 33
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0136
y-axis screen name: stn1-13 33C
y-axis libraries: SDLV4_384
y-axis client: DAL
y-axis user: AAB
y-axis date: 2014/08/22
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YLR421C	RPN13	0.191424	0.403766	-21.5531	31.2334	89.4704	0.851481	25.2402	8	8	t-test	E
YJL029C	VPS53	0.000342249	0.00577145	-21.4026	1.264	38.4187	0.835619	5.84202	6	8	t-test	E
YDL157C	YDL157C	0.188173	0.399879	-21.3977	36.3549	97.8877	3.26953	23.5376	8	6	t-test	E
YGR292W	MAL12	0.0835728	0.240893	-21.3036	30.1013	87.1286	3.51543	17.4546	6	8	t-test	E
YKR078W	YKR078W	0.295902	0.517369	-21.2918	36.0372	97.1696	4.34466	31.3518	8	8	t-test	E
YML035C-A	YML035C-A	0.00695164	0.0478481	-21.2574	30.4934	87.7151	2.19639	9.67463	8	8	t-test	E
YHR207C	SET5	0.313827	0.534743	-21.2239	32.3049	90.7285	1.99478	33.0318	8	8	t-test	E
YLR076C	YLR076C	0.0553458	0.186539	-20.8916	23.7199	75.6142	9.02475	3.72227	8	8	t-test	E
YDL134C-A	YDL134C-A	0.384228	0.600273	-20.8416	36.4993	97.1899	2.60411	36.8914	8	6	t-test	E
YPR005C	HAL1	0.000264901	0.00475225	-20.8404	24.0078	76.0155	3.02722	3.92552	6	8	t-test	E
YNR041C	COQ2	0.00697663	0.0479548	-20.8124	14.1239	59.2152	4.98978	3.1382	6	8	t-test	E
YGR097W	ASK10	0.0327368	0.13251	-20.6527	15.8148	61.8106	7.76358	2.64402	8	8	t-test	E
YNL179C	YNL179C	0.25548	0.475745	-20.6521	41.3261	105.05	2.03552	28.1278	8	8	t-test	E
YBL094C	YBL094C	0.0491882	0.173895	-20.3356	16.5975	62.5997	8.53438	2.39113	8	8	t-test	E
YBR084C-A	RPL19A	0.0455848	0.165223	-20.2174	15.4757	60.498	7.65458	8.17473	8	8	t-test	E
YPL183C	RTT10	0.00113995	0.0134074	-20.1911	8.22397	48.1621	3.75208	5.40977	8	8	t-test	E
YGR154C	GTO1	0.269062	0.489803	-20.1615	30.4829	85.8398	3.23423	28.1128	8	8	t-test	E
YML004C	GLO1	0.0205123	0.0971508	-20.1466	31.0711	86.8115	2.27346	11.4125	8	8	t-test	E
YDR274C	YDR274C	0.0253107	0.111831	-20.1068	14.6083	58.8402	7.04613	4.04969	8	8	t-test	E
YJR116W	TDA4	0.240291	0.461885	-20.0739	37.9151	98.2884	3.14128	26.1674	8	8	t-test	E
YKL025C	PAN3	0.253796	0.474309	-19.9585	37.3327	97.1056	4.00977	26.6347	8	8	t-test	E
YGR203W	YCH1	0.357994	0.578809	-19.8791	33.9449	91.2289	1.12517	34.2111	8	8	t-test	E
YER046W	SPO73	0.41037	0.621509	-19.7484	41.4314	103.697	3.90048	37.4204	8	7	t-test	E
YGL203C	KEX1	0.329954	0.549475	-19.7397	37.2559	96.6046	2.48819	31.7618	8	8	t-test	E
YOR297C	TIM18	0.0288007	0.122155	-19.6162	16.6049	61.3929	6.79795	6.52008	8	8	t-test	E
YDR406W	PDR15	0.362866	0.582688	-19.3976	38.4064	97.9747	6.01587	32.605	8	8	t-test	E
YMR111C	YMR111C	0.000402852	0.00646994	-19.3225	25.1886	75.444	3.28954	1.985	8	8	t-test	E
YCR098C	GIT1	0.471874	0.673085	-19.2759	47.9204	113.894	1.88452	41.9228	8	6	t-test	E
YPL218W	SAR1	0.0541903	0.184238	-19.0926	12.5904	53.7011	6.14105	11.3354	8	8	t-test	E
YJR133W	XPT1	0.329033	0.548461	-19.0638	40.2357	100.51	2.83338	30.535	8	8	t-test	E
YGL026C	TRP5	0.0237811	0.107707	-18.9804	22.4606	70.2403	6.60046	1.63371	8	8	t-test	E
YLR038C	COX12	0.359711	0.580657	-18.9382	39.8523	99.6469	5.16155	31.8667	6	8	t-test	E
YBR256C	RIB5	0.0733663	0.223456	-18.9289	36.1516	93.3587	2.56965	15.0043	8	8	t-test	E
YHR092C	HXT4	0.35671	0.577791	-18.8008	41.4655	102.148	4.18169	31.7224	8	8	t-test	E
YLR368W	MDM30	0.365257	0.583862	-18.6798	36.5824	93.6667	4.80774	31.9374	6	8	t-test	E
